SVIGroup,week,Hospitalized,hosps_transformed,pop2019,mean_mobRatioOut_std,mobRatioOut_rollMean,mean_mobRatioOut_std_lag1,mobRatioOut_rollMean_lag1,mean_mobRatioOut_std_lag2,mobRatioOut_rollMean_lag2,mean_mobRatioOut_std_lag3,mobRatioOut_rollMean_lag3,mean_mobRatioIntra_std,mobRatioIntra_rollMean,mobRatioIntra_rollMean_lag1,mean_mobRatioIntra_std_lag1,mobRatioIntra_rollMean_lag2,mean_mobRatioIntra_std_lag2,mobRatioIntra_rollMean_lag3,mean_mobRatioIntra_std_lag3
1,1,42,3.7612001156935624,1002456,-1.899009374372796,-1.7609044403381453,-1.322865527589596,-2.056133759955626,-1.0589889755598092,-0.7244206204484155,-0.22793718472892807,-0.6040958982812094,-1.8955147638136325,-2.049195926785115,-0.8820602959404334,1.3295042501455427,-0.9948453761312545,-1.026659257339089,1.0349832674815536,1.5823921366002704
1,2,26,3.295836866004329,1002456,-1.8470266953254697,-1.9753850973012117,-1.899009374372796,-1.6896338657626206,-0.8933684346907946,-1.2837889282078,-0.31613945736818533,-0.2835077422850636,-0.5589235968018367,-1.544923274941125,-0.3749780368233088,-1.8955147638136325,-1.162761388014687,-0.5661101428913397,0.9124430655389814,0.6264994733731482
1,3,29,3.4011973816621555,1002456,-2.180119222205369,-2.055131891453645,-1.8470266953254697,-1.9753850973012117,-1.899009374372796,-1.5464681681296868,-0.3064465847580774,-0.8405318054996863,-2.180331464207906,-1.7474045720772906,-1.544923274941125,-0.5589235968018367,-1.0068495011689362,-1.8955147638136325,-0.24685923459898632,0.5284375866435249
1,4,19,2.995732273553991,1002456,-2.1382497568300964,-2.1033769092330674,-2.180119222205369,-2.055131891453645,-1.8470266953254697,-1.9753850973012117,-1.899009374372796,-1.3508275514854475,-2.502958655222129,-2.145425846822991,-1.7474045720772906,-2.180331464207906,-1.544923274941125,-0.5589235968018367,-0.642000257990648,-1.8955147638136325
1,5,18,2.9444389791664403,1002456,-1.991761748663737,-1.8641823719852788,-2.1382497568300964,-2.1033769092330674,-2.180119222205369,-2.055131891453645,-1.8470266953254697,-1.9753850973012117,-1.7529874210389391,-1.4083961931380582,-2.145425846822991,-2.502958655222129,-1.7474045720772906,-2.180331464207906,-1.5449232749411248,-0.5589235968018367
1,6,21,3.091042453358316,1002456,-1.4625356104620033,-1.4447352106991205,-1.991761748663737,-1.8641823719852788,-2.1382497568300964,-2.1033769092330674,-2.180119222205369,-2.055131891453645,0.03075749684689373,-0.825575907779625,-1.4083961931380582,-1.7529874210389391,-2.145425846822991,-2.502958655222129,-1.7474045720772902,-2.180331464207906
1,7,10,2.3978952727983707,1002456,-0.879908272971621,-1.0786041060414728,-1.4625356104620033,-1.4447352106991205,-1.991761748663737,-1.8641823719852788,-2.1382497568300964,-2.1033769092330674,-0.7544977991468295,-0.49145106183398585,-0.825575907779625,0.03075749684689373,-1.4083961931380582,-1.7529874210389391,-2.145425846822991,-2.502958655222129
1,8,10,2.3978952727983707,1002456,-0.8933684346907946,-0.7244206204484155,-0.879908272971621,-1.0786041060414728,-1.4625356104620033,-1.4447352106991205,-1.991761748663737,-1.8641823719852788,-0.7506128832020217,-0.6223463809018202,-0.49145106183398585,-0.7544977991468295,-0.825575907779625,0.03075749684689373,-1.4083961931380575,-1.7529874210389391
1,9,13,2.6390573296152584,1002456,-0.3999851536828311,-0.41768491317295797,-0.8933684346907946,-0.7244206204484155,-0.879908272971621,-1.0786041060414728,-1.4625356104620033,-1.4447352106991205,-0.36192846035660914,-0.16954347679906068,-0.6223463809018202,-0.7506128832020217,-0.49145106183398585,-0.7544977991468295,-0.8255759077796244,0.03075749684689373
1,10,11,2.4849066497880004,1002456,0.04029884885475136,0.02597478131036893,-0.3999851536828311,-0.41768491317295797,-0.8933684346907946,-0.7244206204484155,-0.879908272971621,-1.0786041060414728,0.603910913161449,0.2814463613274521,-0.16954347679906068,-0.36192846035660914,-0.6223463809018202,-0.7506128832020217,-0.4914510618339853,-0.7544977991468295
