Zip,SVI_State,mobRatioOut,mobRatioIntra,Hosp_least,pop2019,week
77004,0.6674020959735245,2.07904225154899,1.2236166571591558,0,37294,1
77004,0.6674020959735245,1.9496621976406343,1.174843126069595,0,37294,2
77004,0.6674020959735245,1.8939335597017537,0.968625213918996,0,37294,3
77004,0.6674020959735245,2.4684426086043336,1.885339418140331,0,37294,4
77004,0.6674020959735245,2.464241957503413,1.3368511123787792,0,37294,5
77004,0.6674020959735245,0.18286834459341197,0.9977181973759269,0,37294,6
77004,0.6674020959735245,0.09717506213463087,0.09383913291500286,1,37294,7
77004,0.6674020959735245,0.08093254454440438,0.09811751283513977,5,37294,8
77004,0.6674020959735245,0.07925228410403612,0.4004563605248146,1,37294,9
77004,0.6674020959735245,0.024923863198795814,0.05618938961779806,1,37294,10
77004,0.6674020959735245,0.027024188749256134,0.044780376497432973,1,37294,11
77004,0.6674020959735245,0.04956768299086358,0.05276668568168853,1,37294,12
77004,0.6674020959735245,0.06146952777680541,0.28237307472903594,0,37294,13
77004,0.6674020959735245,0.03290510029054503,0.1517398745008557,0,37294,14
77004,0.6674020959735245,0.019883081877691042,0.12179121505989732,1,37294,15
77004,0.6674020959735245,0.03430531732418525,0.10325156873930405,1,37294,16
77004,0.6674020959735245,0.04326670633948262,0.1437535653166001,0,37294,17
77004,0.6674020959735245,0.04788742255049533,0.19680547632629777,1,37294,18
77004,0.6674020959735245,0.0333251654006371,0.16657159155733028,7,37294,19
77004,0.6674020959735245,0.028844470892988413,0.043639475185396466,1,37294,20
77004,0.6674020959735245,0.0634298316239017,0.08414147176269253,6,37294,21
77004,0.6674020959735245,0.03248503518045297,0.10524814603536795,6,37294,22
77004,0.6674020959735245,0.0639899184373578,0.2136337706788363,6,37294,23
77004,0.6674020959735245,0.02660412363916407,0.0921277809469481,8,37294,24
77004,0.6674020959735245,0.03598557776455351,0.14232743867655448,0,37294,25
77004,0.6674020959735245,0.05404837749851227,0.3100399315459213,1,37294,26
77004,0.6674020959735245,0.061609549480169425,0.2903593839132915,1,37294,27
77004,0.6674020959735245,0.04956768299086358,0.145750142612664,0,37294,28
77004,0.6674020959735245,0.06006931074316519,0.18596691386195094,1,37294,29
77004,0.6674020959735245,0.03290510029054503,0.07872219053051911,0,37294,30
77004,0.6674020959735245,0.09885532257499913,0.15887050770108385,0,37294,31
77004,0.6674020959735245,0.09031399866979382,0.17741015402167712,1,37294,32
77004,0.6674020959735245,0.09059404207652186,0.15116942384483742,1,37294,33
77004,0.6674020959735245,0.050827878321139774,0.13576725613234455,0,37294,34
77004,0.6674020959735245,0.3058074001470228,0.47062179121505987,1,37294,35
77004,0.6674020959735245,0.25133895753841845,0.26868225898459785,1,37294,36
77004,0.6674020959735245,0.19435012426926174,0.2515687393040502,0,37294,37
77004,0.6674020959735245,0.16704589211327756,0.26155162578436963,1,37294,38
77004,0.6674020959735245,0.14464241957503413,0.3177410154021677,1,37294,39
77004,0.6674020959735245,0.20247138306437498,0.5590416428978894,0,37294,40
77004,0.6674020959735245,0.23061574544054328,0.26354820308043353,1,37294,41
77004,0.6674020959735245,0.1482829838624987,0.23930405019965773,1,37294,42
77004,0.6674020959735245,0.04340672804284664,0.12065031374786081,1,37294,43
77004,0.6674020959735245,0.10697658137011237,0.1791215059897319,1,37294,44
77004,0.6674020959735245,0.09353449784716632,0.19281232173416998,1,37294,45
77004,0.6674020959735245,0.09101410718661393,0.11979463776383342,1,37294,46
77004,0.6674020959735245,0.0771519585535758,0.15858528237307473,1,37294,47
77004,0.6674020959735245,0.025203906605523855,0.10895607529948659,1,37294,48
77006,0.17153888582460008,1.1128512206356518,0.7364851386395372,0,22580,1
77006,0.17153888582460008,1.1625978811607554,0.3566726511071215,0,22580,2
77006,0.17153888582460008,0.7526485490557346,0.5274286854179134,0,22580,3
77006,0.17153888582460008,1.0511285122063565,2.9084380610412928,0,22580,4
77006,0.17153888582460008,1.0492860432980193,0.8841013365250349,0,22580,5
77006,0.17153888582460008,0.6669737448180562,0.33832036704568125,1,22580,6
77006,0.17153888582460008,0.14002763703362506,0.06862158388190705,1,22580,7
77006,0.17153888582460008,0.15568862275449102,0.06542988230600438,1,22580,8
77006,0.17153888582460008,0.22385997236296637,0.4923199680829842,1,22580,9
77006,0.17153888582460008,0.15476738830032244,0.074207061639736685,1,22580,10
77006,0.17153888582460008,0.1437125748502994,0.07500498703371235,1,22580,11
77006,0.17153888582460008,0.21372639336711194,0.11569918212647118,0,22580,12
77006,0.17153888582460008,0.14187010594196223,0.4189108318372232,1,22580,13
77006,0.17153888582460008,0.24412713035467526,0.1803311390384999,0,22580,14
77006,0.17153888582460008,0.23952095808383234,0.09096349491322561,0,22580,15
77006,0.17153888582460008,0.2984799631506218,0.2537402752842609,0,22580,16
77006,0.17153888582460008,0.4495624136342699,0.14921204867344903,0,22580,17
77006,0.17153888582460008,0.41455550437586364,0.3279473369239976,1,22580,18
77006,0.17153888582460008,0.3307231690465223,0.234590065828845,0,22580,19
77006,0.17153888582460008,0.444956241363427,0.12687013764213045,0,22580,20
77006,0.17153888582460008,0.24320589590050667,0.15958507879513265,0,22580,21
77006,0.17153888582460008,0.42837402118839246,0.26331538001196886,1,22580,22
77006,0.17153888582460008,0.493781667434362,0.20107719928186715,0,22580,23
77006,0.17153888582460008,0.2920313219714417,0.1348493915818871,0,22580,24
77006,0.17153888582460008,0.3592814371257485,0.3758228605625374,1,22580,25
77006,0.17153888582460008,0.6605251036388761,0.4907241172950329,0,22580,26
