Zip,SVI,Date,mobRatioOut,mobRatioIntra,Hospitalized,pop2019,SVIGroup
77004,0.6674020959735245,2020-03-23,0.08093254454440438,0.09811751283513977,5,37294,3
77004,0.6674020959735245,2020-03-30,0.07925228410403612,0.4004563605248146,1,37294,3
77004,0.6674020959735245,2020-04-06,0.024923863198795814,0.05618938961779806,1,37294,3
77004,0.6674020959735245,2020-04-13,0.027024188749256134,0.044780376497432973,1,37294,3
77004,0.6674020959735245,2020-04-20,0.04956768299086358,0.05276668568168853,1,37294,3
77004,0.6674020959735245,2020-04-27,0.06146952777680541,0.28237307472903594,0,37294,3
77004,0.6674020959735245,2020-05-04,0.03290510029054503,0.1517398745008557,0,37294,3
77004,0.6674020959735245,2020-05-11,0.019883081877691042,0.12179121505989732,1,37294,3
77004,0.6674020959735245,2020-05-18,0.03430531732418525,0.10325156873930405,1,37294,3
77004,0.6674020959735245,2020-05-25,0.04326670633948262,0.1437535653166001,0,37294,3
77004,0.6674020959735245,2020-06-01,0.04788742255049533,0.19680547632629777,1,37294,3
77004,0.6674020959735245,2020-06-08,0.0333251654006371,0.16657159155733028,7,37294,3
77004,0.6674020959735245,2020-06-15,0.028844470892988413,0.043639475185396466,1,37294,3
77004,0.6674020959735245,2020-06-22,0.0634298316239017,0.08414147176269253,6,37294,3
77004,0.6674020959735245,2020-06-29,0.03248503518045297,0.10524814603536795,6,37294,3
77004,0.6674020959735245,2020-07-06,0.0639899184373578,0.2136337706788363,6,37294,3
77004,0.6674020959735245,2020-07-13,0.02660412363916407,0.0921277809469481,8,37294,3
77004,0.6674020959735245,2020-07-20,0.03598557776455351,0.14232743867655448,0,37294,3
77004,0.6674020959735245,2020-07-27,0.05404837749851227,0.3100399315459213,1,37294,3
77004,0.6674020959735245,2020-08-03,0.061609549480169425,0.2903593839132915,1,37294,3
77004,0.6674020959735245,2020-08-10,0.04956768299086358,0.145750142612664,0,37294,3
77004,0.6674020959735245,2020-08-17,0.06006931074316519,0.18596691386195094,1,37294,3
77004,0.6674020959735245,2020-08-24,0.03290510029054503,0.07872219053051911,0,37294,3
77004,0.6674020959735245,2020-08-31,0.09885532257499913,0.15887050770108385,0,37294,3
77004,0.6674020959735245,2020-09-07,0.09031399866979382,0.17741015402167712,1,37294,3
77004,0.6674020959735245,2020-09-14,0.09059404207652186,0.15116942384483742,1,37294,3
77004,0.6674020959735245,2020-09-21,0.050827878321139774,0.13576725613234455,0,37294,3
77004,0.6674020959735245,2020-09-28,0.3058074001470228,0.47062179121505987,1,37294,3
77004,0.6674020959735245,2020-10-05,0.25133895753841845,0.26868225898459785,1,37294,3
77004,0.6674020959735245,2020-10-12,0.19435012426926174,0.2515687393040502,0,37294,3
77004,0.6674020959735245,2020-10-19,0.16704589211327756,0.26155162578436963,1,37294,3
77004,0.6674020959735245,2020-10-26,0.14464241957503413,0.3177410154021677,1,37294,3
77004,0.6674020959735245,2020-11-02,0.20247138306437498,0.5590416428978894,0,37294,3
77004,0.6674020959735245,2020-11-09,0.23061574544054328,0.26354820308043353,1,37294,3
77004,0.6674020959735245,2020-11-16,0.1482829838624987,0.23930405019965773,1,37294,3
77004,0.6674020959735245,2020-11-23,0.04340672804284664,0.12065031374786081,1,37294,3
77004,0.6674020959735245,2020-11-30,0.10697658137011237,0.1791215059897319,1,37294,3
77004,0.6674020959735245,2020-12-07,0.09353449784716632,0.19281232173416998,1,37294,3
77004,0.6674020959735245,2020-12-14,0.09101410718661393,0.11979463776383342,1,37294,3
77004,0.6674020959735245,2020-12-21,0.0771519585535758,0.15858528237307473,1,37294,3
77004,0.6674020959735245,2020-12-28,0.025203906605523855,0.10895607529948659,1,37294,3
77006,0.17153888582460008,2020-03-23,0.15568862275449102,0.06542988230600438,1,22580,1
77006,0.17153888582460008,2020-03-30,0.22385997236296637,0.4923199680829842,1,22580,1
77006,0.17153888582460008,2020-04-06,0.15476738830032244,0.074207061639736685,1,22580,1
77006,0.17153888582460008,2020-04-13,0.1437125748502994,0.07500498703371235,1,22580,1
77006,0.17153888582460008,2020-04-20,0.21372639336711194,0.11569918212647118,0,22580,1
77006,0.17153888582460008,2020-04-27,0.14187010594196223,0.4189108318372232,1,22580,1
77006,0.17153888582460008,2020-05-04,0.24412713035467526,0.1803311390384999,0,22580,1
77006,0.17153888582460008,2020-05-11,0.23952095808383234,0.09096349491322561,0,22580,1
77006,0.17153888582460008,2020-05-18,0.2984799631506218,0.2537402752842609,0,22580,1
77006,0.17153888582460008,2020-05-25,0.4495624136342699,0.14921204867344903,0,22580,1
77006,0.17153888582460008,2020-06-01,0.41455550437586364,0.3279473369239976,1,22580,1
77006,0.17153888582460008,2020-06-08,0.3307231690465223,0.234590065828845,0,22580,1
77006,0.17153888582460008,2020-06-15,0.444956241363427,0.12687013764213045,0,22580,1
77006,0.17153888582460008,2020-06-22,0.24320589590050667,0.15958507879513265,0,22580,1
77006,0.17153888582460008,2020-06-29,0.42837402118839246,0.26331538001196886,1,22580,1
77006,0.17153888582460008,2020-07-06,0.493781667434362,0.20107719928186715,0,22580,1
77006,0.17153888582460008,2020-07-13,0.2920313219714417,0.1348493915818871,0,22580,1
77006,0.17153888582460008,2020-07-20,0.3592814371257485,0.3758228605625374,1,22580,1
77006,0.17153888582460008,2020-07-27,0.6605251036388761,0.4907241172950329,0,22580,1
77006,0.17153888582460008,2020-08-03,0.39705204974666053,0.28805106722521445,0,22580,1
77006,0.17153888582460008,2020-08-10,0.5278673422385998,0.34869339716736486,1,22580,1
