SVIGroup,week,Hospitalized,pop2019,mean_mobRatioOut_std,mean_mobRatioOut_std_lag1,mean_mobRatioOut_std_lag2,mean_mobRatioOut_std_lag3,mean_mobRatioOut_std_lag4,mean_mobRatioIntra_std,mean_mobRatioIntra_std_lag1,mean_mobRatioIntra_std_lag2,mean_mobRatioIntra_std_lag3,mean_mobRatioIntra_std_lag4,hosps_transformed
1,1,42,1002456,-1.899009374372796,-1.322865527589596,-1.0589889755598092,-0.22793718472892807,0.05544268699153129,-1.8955147638136325,1.3295042501455427,-1.026659257339089,1.5823921366002704,-0.48197816708107577,3.7612001156935624
1,2,26,1002456,-1.8470266953254697,-1.899009374372796,-0.8933684346907946,-0.31613945736818533,0.24392435320423733,-0.5589235968018367,-1.8955147638136325,-0.5661101428913397,0.6264994733731482,-0.4040574544430987,3.295836866004329
1,3,29,1002456,-2.180119222205369,-1.8470266953254697,-1.899009374372796,-0.3064465847580774,0.1519961294690789,-2.180331464207906,-0.5589235968018367,-1.8955147638136325,0.5284375866435249,-0.5750248177884919,3.4011973816621555
1,4,19,1002456,-2.1382497568300964,-2.180119222205369,-1.8470266953254697,-1.899009374372796,-0.8571480232844246,-2.502958655222129,-2.180331464207906,-0.5589235968018367,-1.8955147638136325,-1.8692864738519437,2.995732273553991
1,5,18,1002456,-1.991761748663737,-2.1382497568300964,-2.180119222205369,-1.8470266953254697,-1.899009374372796,-1.7529874210389391,-2.502958655222129,-2.180331464207906,-0.5589235968018367,-1.8955147638136325,2.9444389791664403
1,6,21,1002456,-1.4625356104620033,-1.991761748663737,-2.1382497568300964,-2.180119222205369,-1.8470266953254697,0.03075749684689373,-1.7529874210389391,-2.502958655222129,-2.180331464207906,-0.5589235968018367,3.091042453358316
1,7,10,1002456,-0.879908272971621,-1.4625356104620033,-1.991761748663737,-2.1382497568300964,-2.180119222205369,-0.7544977991468295,0.03075749684689373,-1.7529874210389391,-2.502958655222129,-2.180331464207906,2.3978952727983707
1,8,10,1002456,-0.8933684346907946,-0.879908272971621,-1.4625356104620033,-1.991761748663737,-2.1382497568300964,-0.7506128832020217,-0.7544977991468295,0.03075749684689373,-1.7529874210389391,-2.502958655222129,2.3978952727983707
1,9,13,1002456,-0.3999851536828311,-0.8933684346907946,-0.879908272971621,-1.4625356104620033,-1.991761748663737,-0.36192846035660914,-0.7506128832020217,-0.7544977991468295,0.03075749684689373,-1.7529874210389391,2.6390573296152584
1,10,11,1002456,0.04029884885475136,-0.3999851536828311,-0.8933684346907946,-0.879908272971621,-1.4625356104620033,0.603910913161449,-0.36192846035660914,-0.7506128832020217,-0.7544977991468295,0.03075749684689373,2.4849066497880004
1,11,20,1002456,0.4376106487591861,0.04029884885475136,-0.3999851536828311,-0.8933684346907946,-0.879908272971621,0.6023566311775168,0.603910913161449,-0.36192846035660914,-0.7506128832020217,-0.7544977991468295,3.044522437723423
1,12,34,1002456,0.5075653402227189,0.4376106487591861,0.04029884885475136,-0.3999851536828311,-0.8933684346907946,0.7215715785781678,0.6023566311775168,0.603910913161449,-0.36192846035660914,-0.7506128832020217,3.5553480614894135
1,13,53,1002456,0.26275522600107765,0.5075653402227189,0.4376106487591861,0.04029884885475136,-0.3999851536828311,0.20016272952413244,0.7215715785781678,0.6023566311775168,0.603910913161449,-0.36192846035660914,3.9889840465642745
1,14,64,1002456,0.1519961294690789,0.26275522600107765,0.5075653402227189,0.4376106487591861,0.04029884885475136,0.10094973745530562,0.20016272952413244,0.7215715785781678,0.6023566311775168,0.603910913161449,4.174387269895637
1,15,82,1002456,-0.31613945736818533,0.1519961294690789,0.26275522600107765,0.5075653402227189,0.4376106487591861,0.1936798708146545,0.10094973745530562,0.20016272952413244,0.7215715785781678,0.6023566311775168,4.418840607796598
1,16,62,1002456,-0.17143333012177647,-0.31613945736818533,0.1519961294690789,0.26275522600107765,0.5075653402227189,-0.1788985107647761,0.1936798708146545,0.10094973745530562,0.20016272952413244,0.7215715785781678,4.143134726391533
1,17,74,1002456,-0.22793718472892807,-0.17143333012177647,-0.31613945736818533,0.1519961294690789,0.26275522600107765,-0.2792316791109662,-0.1788985107647761,0.1936798708146545,0.10094973745530562,0.20016272952413244,4.31748811353631
1,18,74,1002456,0.07176005441143962,-0.22793718472892807,-0.17143333012177647,-0.31613945736818533,0.1519961294690789,0.03431255860524773,-0.2792316791109662,-0.1788985107647761,0.1936798708146545,0.10094973745530562,4.31748811353631
1,19,45,1002456,0.5151602877500965,0.07176005441143962,-0.22793718472892807,-0.17143333012177647,-0.31613945736818533,1.006679326622374,0.03431255860524773,-0.2792316791109662,-0.1788985107647761,0.1936798708146545,3.828641396489095
1,20,40,1002456,0.29394441808416544,0.5151602877500965,0.07176005441143962,-0.22793718472892807,-0.17143333012177647,0.9052552263188344,1.006679326622374,0.03431255860524773,-0.2792316791109662,-0.1788985107647761,3.713572066704308
1,21,36,1002456,0.3815250925446207,0.29394441808416544,0.5151602877500965,0.07176005441143962,-0.22793718472892807,0.12604308523442734,0.9052552263188344,1.006679326622374,0.03431255860524773,-0.2792316791109662,3.610917912644224
1,22,33,1002456,0.6571416248747135,0.3815250925446207,0.29394441808416544,0.5151602877500965,0.07176005441143962,0.6264994733731482,0.12604308523442734,0.9052552263188344,1.006679326622374,0.03431255860524773,3.5263605246161616
1,23,20,1002456,-0.3064465847580774,0.6571416248747135,0.3815250925446207,0.29394441808416544,0.5151602877500965,-0.3817482277748343,0.6264994733731482,0.12604308523442734,0.9052552263188344,1.006679326622374,3.044522437723423
